ROI,NetworkID,NetworkName
303,11,SalVentAttnB
304,11,SalVentAttnB
305,11,SalVentAttnB
306,11,SalVentAttnB
307,11,SalVentAttnB
308,11,SalVentAttnB
309,11,SalVentAttnB
310,11,SalVentAttnB
311,11,SalVentAttnB
312,9,LimbicB
313,9,LimbicB
314,9,LimbicB
315,9,LimbicB
316,9,LimbicB
317,9,LimbicB
318,8,LimbicA
319,8,LimbicA
320,8,LimbicA
321,8,LimbicA
322,8,LimbicA
323,8,LimbicA
324,0,ContA
325,0,ContA
326,0,ContA
327,0,ContA
328,0,ContA
329,0,ContA
330,0,ContA
331,0,ContA
332,0,ContA
333,0,ContA
334,0,ContA
335,1,ContB
336,1,ContB
337,1,ContB
338,1,ContB
339,1,ContB
340,1,ContB
341,1,ContB
342,1,ContB
343,1,ContB
344,1,ContB
345,1,ContB
346,1,ContB
347,1,ContB
348,1,ContB
349,1,ContB
350,2,ContC
351,2,ContC
352,2,ContC
353,2,ContC
354,2,ContC
355,2,ContC
356,2,ContC
357,3,DefaultA
358,3,DefaultA
359,3,DefaultA
360,3,DefaultA
361,3,DefaultA
362,3,DefaultA
363,3,DefaultA
364,3,DefaultA
365,3,DefaultA
366,3,DefaultA
367,3,DefaultA
368,3,DefaultA
369,3,DefaultA
370,3,DefaultA
371,3,DefaultA
372,3,DefaultA
373,4,DefaultB
374,4,DefaultB
375,4,DefaultB
376,4,DefaultB
377,4,DefaultB
378,4,DefaultB
379,4,DefaultB
380,4,DefaultB
381,4,DefaultB
382,4,DefaultB
383,4,DefaultB
384,5,DefaultC
385,5,DefaultC
386,5,DefaultC
387,5,DefaultC
388,5,DefaultC
389,5,DefaultC
390,14,TempPar
391,14,TempPar
392,14,TempPar
393,14,TempPar
394,14,TempPar
395,14,TempPar
396,14,TempPar
397,14,TempPar
398,14,TempPar
399,14,TempPar
400,17,MTL
401,17,MTL
402,17,MTL
403,17,MTL
404,19,Thalamus
405,19,Thalamus
406,19,Thalamus
407,19,Thalamus
408,18,Striatum
409,18,Striatum
410,18,Striatum
411,18,Striatum
412,18,Striatum
413,18,Striatum
414,18,Striatum
415,18,Striatum
416,17,MTL
417,17,MTL
418,17,MTL
419,17,MTL
420,19,Thalamus
421,19,Thalamus
422,19,Thalamus
423,19,Thalamus
424,18,Striatum
425,18,Striatum
426,18,Striatum
427,18,Striatum
428,18,Striatum
429,18,Striatum
430,18,Striatum
431,18,Striatum
432,20,Cerebellum
433,20,Cerebellum
