alpha,n_latents,n_modes,rec_error,freq_mape,runtime,OI,SOI,MI
1500,48,6,0.9809354859176176,0.3414974822334181,18.25485754013061,0.0210931435302126,0.4585424098618536,1.2171319872241213
1500,48,8,0.1488893108791106,0.2743979114984288,22.009714603424072,0.0344797133904405,0.2918820734879542,1.2191155904812192
1500,48,10,0.1182639566323203,0.2442379912685358,19.86648440361023,0.3081169885717619,0.2768601772261725,1.1811682485391608
1500,48,12,0.0712204824949389,0.2779641829553583,27.410502433776852,0.1489271156708224,0.2120043267500976,1.199979116911496
1500,64,6,1.261398464276852,0.3421543352568302,25.342609882354736,0.0884337317902255,0.6250604000279283,1.3268274268595917
1500,64,8,0.2572990206014406,0.3359704996821456,24.581684827804565,0.1708048504069426,0.3166922238428887,1.204364621300289
1500,64,10,0.1347487607167334,0.2475989516553313,28.924468278884888,0.3190215595549803,0.2784755791288281,1.1568305219797808
1500,64,12,0.1435037860280041,0.2791345208303341,24.990312814712524,0.2513384147579581,0.2598251567200236,1.1984500291162938
1500,96,6,0.7377090877656176,0.4504621375028526,24.86918544769287,0.0342046421217271,0.6108060838703612,1.2578694712350311
1500,96,8,0.1532142978192673,0.3243130997753617,41.36610198020935,0.2074348909282488,0.3052891532752864,1.1931628997378887
1500,96,10,0.077918935591489,0.2936989824931875,40.75213670730591,0.1282138301976768,0.2486155852009889,1.117187711126763
1500,96,12,0.1020156714452438,0.3197430928038833,34.16595220565796,0.2069502129811963,0.2204454408592684,1.12781995138776
1800,48,6,0.2096262552909273,0.3611101416713574,15.844091892242432,0.4107968855658653,0.4917721299802762,1.2372049319637284
1800,48,8,0.4195539490383529,0.3201291807752707,16.409311056137085,0.1440658773672273,0.2991200484884568,1.1490752774132158
1800,48,10,0.1409369695041656,0.2442237776892639,21.91611266136169,0.1683596514021504,0.2521975859994325,1.0483856288411
1800,48,12,0.0928763252377293,0.3067026166454016,17.964698791503906,0.0864747652712002,0.2126838405766085,1.1511083720067334
1800,64,6,0.4074091800187792,0.3915904910596778,31.823275566101078,0.0239808937347387,0.4688390457865904,1.3065601122810149
1800,64,8,0.2386850118966483,0.3195154520893318,24.29832243919373,0.1998094230927017,0.3267092832833976,1.1819705412049204
1800,64,10,0.216159175496947,0.3253586214056881,24.02180814743042,0.3229820778109993,0.2694363005123864,1.289406846235986
1800,64,12,0.0867184252822861,0.3060635890583243,28.086331129074097,0.1788240547194634,0.2381163910652106,1.1982680840345228
1800,96,6,1.6791463853227648,0.429275279907493,39.230011224746704,0.0904254410416804,0.8076805081682275,1.434784566358687
1800,96,8,0.0710528570171632,0.3317546606810122,40.044124126434326,0.0270731425011921,0.2915780635024446,1.1932471158352904
1800,96,10,0.1773218415930856,0.2913439623665456,33.25936412811279,0.3261594661389332,0.2936132529731981,1.181985098037145
1800,96,12,0.1209099206928489,0.3430464664642684,35.88678431510925,0.213844536325433,0.246583342954676,1.2294868931839964
2000,48,6,0.5312909705076972,0.3480798879503206,33.83696699142456,0.01196261123269,0.459798129206945,1.2117290462163413
2000,48,8,0.6979083142883623,0.2739135061548063,19.00046133995056,0.0148220300809298,0.322864921589363,1.164858526982783
2000,48,10,0.1460444999070401,0.3099784550651274,20.095245122909542,0.2878160628220532,0.2864694698088583,1.2356394900305334
2000,48,12,0.2283199498045371,0.3181695906628174,17.656630039215088,0.0405062008905903,0.2309346849307914,1.1116204118665909
2000,64,6,0.3613245200238623,0.5997130876145863,12.724205255508425,0.1789573920758353,0.8113627879713863,1.6153183451711683
2000,64,8,0.7671526297330579,0.3306840773389359,22.58565616607666,0.2396627301411711,0.3214330514662977,1.191797998467122
2000,64,10,0.1438397196270521,0.3067487185683244,27.60330843925476,0.3387024012382779,0.3016091540656301,1.2105506300400417
2000,64,12,0.0773748966074428,0.3545698967657891,26.429287672042847,0.0510190386744279,0.1953830544074022,1.1519711792064653
2000,96,6,0.908401636740689,0.5538801853395837,51.196465492248535,0.2123443304615911,0.7872281671997143,1.5818204082736618
2000,96,8,0.4274636939937231,0.3265409588115269,37.47039103507996,0.0624831112565655,0.2871829869945888,1.0997878480349106
2000,96,10,0.2040621137058799,0.3169719184453816,36.47609615325928,0.2932476958171555,0.290643163663861,1.2954103538204225
2000,96,12,0.1228532966931202,0.3177884601996196,42.02168679237366,0.0565610002799444,0.2064664408020693,1.1169301302370465
2200,48,6,1.2287711819276803,0.5370056223351317,15.908260822296144,0.007130137834683,0.5991374900423305,1.1673248709267507
2200,48,8,0.5287592430420085,0.2840651792022,17.347493886947632,0.0065167917221046,0.2987142887442663,1.1461513802274472
2200,48,10,0.206208211873991,0.3233874891871203,15.87014865875244,0.1133610208256237,0.2670319113924303,1.2755720769902714
2200,48,12,0.0707665280846951,0.3519934532933739,21.285640239715576,0.0460574064442757,0.1954948311480551,1.1785074039144752
2200,64,6,0.6685974085315457,0.5955373062786401,21.08108782768249,0.0209867108919223,0.6009160279999146,1.4641831247041324
2200,64,8,0.2933942559448841,0.3225293732078538,23.106332063674927,0.1225944371047542,0.3029996357552676,1.1430078704728803
